date,startup,vertical,subvertical,city,investors,round,amount
24-10-2016,Healthians,Consumer Internet,Health Test Discovery & Ordering service,Gurgaon,BEENEXT,Private Equity,24.6
24-10-2016,Box8,Consumer Internet,Online Food Ordering platform/App,Mumbai,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,61.49
25-10-2016,Kredx,E-Commerce,Invoice discounting marketplace,Bengaluru,Sequoia Capital,Private Equity,49.19
25-10-2016,CreditMate,Consumer Internet,Credit Report Info platform,Mumbai,India Quotient,Seed Funding,4.1
25-10-2016,SooperMO,Technology,Android utility app suite creator,Gurgaon,Lalit Vase,Seed Funding,0.82
26-10-2016,OrangeTwig,Consumer Internet,Social Media Marketing platform,New Delhi,Undisclosed investor,Seed Funding,8.2
26-10-2016,The Kettlery,E-Commerce,Online Tea E-Tailer,Ahmedabad,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,8.2
27-10-2016,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bengaluru,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,5.74
27-10-2016,FR8,Technology,Truck Fleet Operation platform,Chennai,Omnivore Partners,Private Equity,7.96
27-10-2016,Ather Energy,Technology,Electric Vehicle Manufacturer,Bengaluru,Hero MotoCorp,Private Equity,221.37
29-10-2016,Velmenni,Technology,LiFi based wireless communication provider,New Delhi,Kalaari Capital,Seed Funding,0.82
29-10-2016,Volta Motors,Technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed Funding,0.82
29-10-2016,Cyclops,Technology,Clinical and Wearable Diagnostic Product creator,Bengaluru,Kalaari Capital,Seed Funding,0.82
30-10-2016,Impact Analytics,Technology,Business intelligence and data science Startup,Bengaluru,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,6.15
31-10-2016,Talent Next,Consumer Internet,Talent Discovery & Audition management platform,Mumbai,Karanpal Singh & Others,Seed Funding,8.2
01-11-2016,PickMyLaundry,Consumer Internet,On-Demand Washing & Dry Cleaning Services,New Delhi,"Kedar Lele, GHV Accelerator",Seed Funding,1.64
02-11-2016,FreshDesk,Consumer Internet,SAAS Based HelpDesk Services,Chennai,"Sequoia Capital India, Accel Partners",Private Equity,450.94
02-11-2016,LaundryAnna,Consumer Internet,On-Demand Washing & Dry Cleaning Services,Bengaluru,Undisclosed Investors,Seed Funding,1.23
03-11-2016,Zarget,Technology,SaaS-based web optimisation and marketing platform,Chennai,Sequoia India,Private Equity,49.19
03-11-2016,EasyPolicy,Consumer Internet,Online insurance Portal,Noida,"Unilazer Ventures,",Private Equity,81.99
04-11-2016,Connect India,Logistics,Last mile Delivery Network,Bengaluru,Aavishkaar Venture Management,Private Equity,8.2
04-11-2016,Corseco,Technology,AI-based Software as a Service Solution provider,New Delhi,"Ameera Shah, Vivek Bhargava",Seed Funding,1.23
05-11-2016,Medzin,E-Commerce,Online ordering & Delivery of medicines,New Delhi,A M Sikander,Seed Funding,0.37
05-11-2016,Bizongo,E-Commerce,Packaging Material Marketplace,Mumbai,"IDG Ventures, Accel Partners",Private Equity,24.6
07-11-2016,Rivigo,Technology,Technology based Logistics platform,Gurgaon,Warburg Pincus,Private Equity,614.92
07-11-2016,JustRide,Consumer Internet,Online Car Sharing platform,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, SUS Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,24.6
09-11-2016,IIM Jobs,Consumer Internet,Online Job Portal,New Delhi,India Quotient,Private Equity,16.4
09-11-2016,Square Yards,Consumer Internet,Online Property Search Portal,Gurgaon,ADAG Reliance Private Equity,Private Equity,98.39
10-11-2016,GolfLAN,Consumer Internet,Golf Session Online Bookings platform,New Delhi,"YourNest Angel Fund, iSON",Private Equity,8.2
14-11-2016,Active.ai,Technology,Banking & Fintech Platform,Singapore,"Kalaari Capital, IDG Ventures India",Private Equity,24.6
14-11-2016,ElasticRun,Technology,Tech driven Logistic & distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,16.4
15-11-2016,Zefo,E-Commerce,Used Furniture & Appliances Marketplace,Bengaluru,"Sequoia India, BEENEXT, Helion Ventures",Private Equity,49.19
15-11-2016,PlaySimple,Technology,Mobile Gaming portal,Bengaluru,"SAIF Partners, IDG Ventures India",Private Equity,32.8
16-11-2016,Stasis Labs,Technology,Cloud based health monitoring platform,Bengaluru,"RTP-HC, Wonder Ventures, Techstars Ventures & Others",Private Equity,41
17-11-2016,Koovs,E-Commerce,Fashion E-Tailer,New Delhi,Times of India Group & Existing investors,Private Equity,110.69
17-11-2016,Pictor Imaging,Consumer Internet,Product Photography Mobile App,Mumbai,Quarizon,Seed Funding,1.21
18-11-2016,GramCover,Finance,Insurance Marketplace for the Rural Sector,New Delhi,Omnivore Capital,Seed Funding,8.2
21-11-2016,Bats on delivery,Consumer Internet,"Online food, Grocery ordering & Delivery",Gurgaon,Devdeep Singh,Seed Funding,0.74
21-11-2016,numberz.in,Technology,Cash Flow Management Solution for Businesses,Gurgaon,"Kae Capital, Khosla Impact",Seed Funding,5.33
22-11-2016,Housing.com,Consumer Internet,Real Estate Portal,Mumbai,Softbank Group,Private Equity,41
22-11-2016,Awesummly,Consumer Internet,Short News Mobile App,Bengaluru,"Vivek Bhargava, Ameera Shah",Seed Funding,1.21
22-11-2016,Vymo,Technology,SaaS-based predictive analytics platform,Bengaluru,Sequoia India,Private Equity,41
22-11-2016,Noddapp,Consumer Internet,App based networking platform,Mumbai,Undisclosed multiple investors,Seed Funding,1.21
23-11-2016,Knowlarity,Consumer Internet,Cloud Telephony Platform,Bengaluru,"Delta Partners, Sequoia India, Mayfield, Blacksoil, Trifecta Capital",Private Equity,163.98
23-11-2016,Infisecure,Technology,Bot Protection Solutions,Mumbai,"IDG Ventures, Axilor Ventures",Seed Funding,4.92
23-11-2016,Udaan,E-Commerce,B2B Marketplace,Bengaluru,"Lightspeed Venture Partners India, Lightspeed US",Private Equity,81.99
24-11-2016,ShareChat,Consumer Internet,Local Language Social Networking Platform,Mumbai,"Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway",Private Equity,32.8
28-11-2016,Kloseby,Consumer Internet,proximity based Rewards platform,Bengaluru,Undisclosed Investor,Seed Funding,0.82
28-11-2016,WholeSaleBox,E-Commerce,B2B Wholesale Apparel Marketplace,Jaipur,"Manish Maheshwari, Contrarian Vriddhi Fund",Private Equity,16.4
29-11-2016,Affordplan,Consumer Internet,Savings platform for Medical Expenses,New Delhi,"Prime Venture Partners, Kalaari Capital",Private Equity,24.6
30-11-2016,HandyTrain,Consumer Internet,Mobile App for SAAS based Training,Goa,"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others",Private Equity,8.2
30-11-2016,ShopsUp,E-Commerce,Hyperlocal Shopping App,Bengaluru,"Anand Sankeshwar, Yang Shu",Seed Funding,7.9
